player_key,player_name,country,season_avg,season_rank,matches_in_window,avg_last10,stdev_last10,best_last10,worst_last10,avg_last5,avg_prev5,trend,wins_last10,win_rate_last10,last_match_date,mean_opp_avg,mean_perf_vs_opp,sos_n,checkout_pct,total_180s,first9_avg,profile_url
5190,James Hurrell,ENG,92.96,30,10,93.33,7.13,104.86,80.09,93.23,93.43,-0.2,4,0.4,2026-05-08,92.01,1.32,10,38.33,298.0,102.68,https://dartsorakel.com/player/details/5190/james-hurrell
24,Daryl Gurney,NIR,92.78,31,10,92.05,6.53,100.03,76.88,88.09,96.01,-7.93,6,0.6,2026-05-12,92.9,-0.85,10,40.91,278.0,99.94,https://dartsorakel.com/player/details/24/daryl-gurney
66,Mike De Decker,BEL,92.75,32,10,91.8,3.23,96.9,86.7,91.17,92.44,-1.27,5,0.5,2026-05-09,92.17,-0.36,10,37.45,301.0,100.68,https://dartsorakel.com/player/details/66/mike-de-decker
74,Bradley Brooks,ENG,92.73,33,10,92.24,5.53,99.44,83.92,92.04,92.43,-0.4,5,0.5,2026-05-12,94.99,-2.75,10,40.15,302.0,100.73,https://dartsorakel.com/player/details/74/bradley-brooks
5138,Alan Soutar,SCO,92.56,34,10,92.58,3.57,99.27,87.9,90.22,94.95,-4.73,4,0.4,2026-05-12,91.39,1.19,10,37.58,357.0,102.05,https://dartsorakel.com/player/details/5138/alan-soutar
2138,Justin Hood,ENG,92.5,35,10,94.77,5.54,106.38,85.67,91.98,97.56,-5.59,5,0.5,2026-05-12,92.64,2.13,10,37.79,235.0,100.67,https://dartsorakel.com/player/details/2138/justin-hood
6,Joe Cullen,ENG,92.38,36,10,97.42,6.97,108.34,89.15,95.53,99.3,-3.77,7,0.7,2026-05-12,92.25,5.16,10,37.12,370.0,100.77,https://dartsorakel.com/player/details/6/joe-cullen
196,Niko Springer,GER,92.28,37,10,95.97,6.86,112.48,87.7,98.37,93.58,4.79,6,0.6,2026-05-12,92.4,3.58,10,39.81,307.0,100.85,https://dartsorakel.com/player/details/196/niko-springer
35,Callan Rydz,ENG,92.13,38,10,86.6,5.97,95.51,76.42,83.03,90.17,-7.13,3,0.3,2026-05-12,91.3,-4.7,10,38.95,256.0,99.59,https://dartsorakel.com/player/details/35/callan-rydz
5145,Richard Veenstra,NED,92.09,39,10,98.21,6.59,110.43,88.67,98.46,97.96,0.5,7,0.7,2026-05-12,93.6,4.61,10,37.89,228.0,100.66,https://dartsorakel.com/player/details/5145/richard-veenstra
2092,Jeffrey de Graaf,SWE,91.9,40,10,95.49,4.92,106.99,90.25,93.43,97.55,-4.12,4,0.4,2026-05-12,95.41,0.08,10,39.65,278.0,99.57,https://dartsorakel.com/player/details/2092/jeffrey-de-graaf
2221,Cameron Menzies,SCO,91.88,41,10,92.31,6.96,104.5,82.68,93.7,90.92,2.78,4,0.4,2026-05-12,91.91,0.4,10,36.38,356.0,101.04,https://dartsorakel.com/player/details/2221/cameron-menzies
51,Kim Huybrechts,BEL,91.87,42,10,93.43,7.04,107.05,83.53,94.37,92.48,1.89,6,0.6,2026-05-12,93.28,0.15,10,37.64,395.0,100.17,https://dartsorakel.com/player/details/51/kim-huybrechts
2273,Wesley Plaisier,NED,91.84,43,10,88.35,6.45,101.76,79.86,87.32,89.39,-2.07,2,0.2,2026-05-12,94.6,-6.25,10,41.33,188.0,98.77,https://dartsorakel.com/player/details/2273/wesley-plaisier
2317,Connor Scutt,ENG,91.79,44,10,91.47,7.12,106.09,83.9,89.76,93.19,-3.43,5,0.5,2026-05-12,91.53,-0.05,10,38.15,298.0,100.23,https://dartsorakel.com/player/details/2317/connor-scutt
59,Max Hopp,GER,91.75,45,10,94.3,4.57,100.97,85.18,96.12,92.48,3.63,6,0.6,2026-05-12,93.0,1.31,10,37.44,308.0,100.3,https://dartsorakel.com/player/details/59/max-hopp
45,Ricky Evans,ENG,91.66,46,10,91.93,5.77,100.62,80.57,92.29,91.57,0.71,4,0.4,2026-05-12,92.85,-0.92,10,37.75,289.0,99.37,https://dartsorakel.com/player/details/45/ricky-evans
138,Beau Greaves,ENG,91.62,47,10,94.68,4.93,103.41,87.72,94.47,94.89,-0.41,7,0.7,2026-05-12,91.63,3.05,10,41.3,665.0,101.33,https://dartsorakel.com/player/details/138/beau-greaves
129,Keane Barry,IRL,91.48,48,10,91.49,8.59,101.4,73.6,90.74,92.23,-1.5,6,0.6,2026-05-12,89.8,1.68,10,38.65,193.0,99.51,https://dartsorakel.com/player/details/129/keane-barry
148,Lukas Wenig,GER,91.46,49,10,89.55,5.33,101.63,81.43,88.42,90.67,-2.26,5,0.5,2026-05-12,89.77,-0.23,10,35.61,296.0,100.01,https://dartsorakel.com/player/details/148/lukas-wenig
21,Dave Chisnall,ENG,91.42,50,10,90.79,5.12,100.48,84.44,92.69,88.89,3.8,6,0.6,2026-05-12,89.9,0.89,10,36.32,349.0,100.53,https://dartsorakel.com/player/details/21/dave-chisnall
9,Mensur Suljović,AUT,91.41,51,10,88.7,6.26,100.35,78.65,87.92,89.48,-1.56,8,0.8,2026-05-09,87.11,1.59,10,38.15,239.0,98.86,https://dartsorakel.com/player/details/9/mensur-suljovic
65,Mickey Mansell,NIR,91.36,52,10,92.19,4.56,98.04,82.83,93.7,90.69,3.01,4,0.4,2026-05-12,91.15,1.04,10,38.19,180.0,99.52,https://dartsorakel.com/player/details/65/mickey-mansell
5,Michael Smith,ENG,91.33,53,10,90.73,3.96,97.74,85.54,90.87,90.58,0.29,5,0.5,2026-05-12,92.54,-1.81,10,37.53,256.0,100.43,https://dartsorakel.com/player/details/5/michael-smith
46158,Tom Bissell,ENG,91.33,54,10,92.14,7.88,101.81,77.17,88.45,95.83,-7.38,6,0.6,2026-05-12,89.31,2.83,10,37.8,283.0,99.36,https://dartsorakel.com/player/details/46158/tom-bissell
28,Ryan Joyce,ENG,91.33,55,10,88.25,6.9,100.64,77.57,91.17,85.33,5.84,4,0.4,2026-05-12,91.12,-2.88,10,42.51,166.0,98.37,https://dartsorakel.com/player/details/28/ryan-joyce
2062,Ritchie Edhouse,ENG,91.29,56,10,92.5,5.21,104.87,85.89,90.91,94.1,-3.19,7,0.7,2026-05-12,93.98,-1.48,10,38.3,232.0,98.76,https://dartsorakel.com/player/details/2062/ritchie-edhouse
50760,Tom Sykes,ENG,91.21,57,10,94.95,3.83,101.27,87.0,94.76,95.15,-0.39,6,0.6,2026-05-12,93.59,1.36,10,37.32,345.0,100.52,https://dartsorakel.com/player/details/50760/tom-sykes
38,Gabriel Clemens,GER,91.06,58,10,90.55,6.27,107.12,83.45,92.15,88.96,3.19,2,0.2,2026-05-12,90.19,0.36,10,35.46,288.0,99.62,https://dartsorakel.com/player/details/38/gabriel-clemens
3043,Shane McGuirk,IRL,91.02,59,10,92.59,4.09,101.67,88.65,93.22,91.96,1.26,3,0.3,2026-05-12,90.45,2.15,10,37.77,293.0,100.03,https://dartsorakel.com/player/details/3043/shane-mcguirk
5636,Charlie Manby,ENG,90.89,60,10,92.15,3.58,97.53,85.99,92.29,92.0,0.29,4,0.4,2026-05-12,88.69,3.46,10,38.14,538.0,100.18,https://dartsorakel.com/player/details/5636/charlie-manby
91,Maik Kuivenhoven,NED,90.87,61,10,91.97,4.38,99.54,85.56,92.96,90.97,1.99,7,0.7,2026-05-12,91.73,0.24,10,36.15,230.0,99.74,https://dartsorakel.com/player/details/91/maik-kuivenhoven
42,Madars Razma,LTV,90.6,62,10,90.56,4.14,98.76,85.13,93.02,88.11,4.91,5,0.5,2026-05-12,93.59,-3.03,10,39.54,160.0,97.85,https://dartsorakel.com/player/details/42/madars-razma
2363,Mario Vandenbogaerde,BEL,90.52,63,10,91.49,3.76,96.21,83.98,90.06,92.92,-2.86,4,0.4,2026-05-12,91.7,-0.21,10,38.24,155.0,97.97,https://dartsorakel.com/player/details/2363/mario-vandenbogaerde
5185,Darryl Pilgrim,ENG,90.48,64,10,91.36,5.2,100.78,82.24,90.05,92.66,-2.61,6,0.6,2026-05-12,93.81,-2.45,10,38.24,226.0,98.9,https://dartsorakel.com/player/details/5185/darryl-pilgrim
33021,Cam Crabtree,ENG,90.37,65,10,87.51,7.45,99.29,76.94,91.01,84.02,6.99,3,0.3,2026-05-12,84.6,2.91,10,38.21,307.0,98.88,https://dartsorakel.com/player/details/33021/cam-crabtree
23,Brendan Dolan,NIR,90.37,66,10,89.47,4.05,94.23,81.15,87.33,91.61,-4.28,3,0.3,2026-05-12,90.46,-0.99,10,38.48,145.0,98.24,https://dartsorakel.com/player/details/23/brendan-dolan
3038,Sebastian Bialecki,POL,90.36,67,10,94.92,4.12,101.98,90.44,93.86,95.98,-2.13,6,0.6,2026-05-12,94.0,0.92,10,40.66,255.0,97.91,https://dartsorakel.com/player/details/3038/sebastian-bialecki
2171,Christian Kist,NED,90.31,68,10,89.57,5.77,102.5,81.26,86.05,93.08,-7.03,5,0.5,2026-05-12,90.85,-1.29,10,38.89,176.0,96.29,https://dartsorakel.com/player/details/2171/christian-kist
48,Jeffrey de Zwaan,NED,90.16,69,10,90.56,6.45,101.96,79.7,90.22,90.89,-0.67,3,0.3,2026-05-12,91.53,-0.97,10,35.49,234.0,100.03,https://dartsorakel.com/player/details/48/jeffrey-de-zwaan
2223,Alexander Merkx,NED,90.0,70,10,90.02,3.23,94.86,84.16,90.24,89.81,0.43,6,0.6,2026-05-12,90.3,-0.27,10,40.49,276.0,97.54,https://dartsorakel.com/player/details/2223/alexander-merkx
47,Ryan Meikle,ENG,89.95,71,10,89.61,5.61,95.15,75.7,91.11,88.1,3.01,4,0.4,2026-05-12,93.14,-3.54,10,37.1,185.0,97.5,https://dartsorakel.com/player/details/47/ryan-meikle
2014,Stephen Burton,ENG,89.9,72,10,91.38,4.52,98.73,83.1,91.99,90.76,1.23,2,0.2,2026-05-12,95.28,-3.9,10,35.26,150.0,97.62,https://dartsorakel.com/player/details/2014/stephen-burton
57,Darius Labanauskas,LTH,89.87,73,10,94.68,4.73,103.29,87.96,95.01,94.35,0.65,7,0.7,2026-05-12,94.39,0.29,10,38.89,176.0,97.54,https://dartsorakel.com/player/details/57/darius-labanauskas
